Category,Name,Latitude,Longitude
Fast_food,Panipuri Point,15.9015688,80.4689269
Restaurant,Rambabu Biriyani Point,15.9023568,80.4684779
Restaurant,Orange Restaurant,15.9026237,80.4682335
Atm,Canara Bank,15.9050662,80.4710075
Atm,Bank of India,15.9048766,80.4710263
Restaurant,Dolphin Biriyani Point,15.9055627,80.4717036
Atm,State Bank Of India,15.9056504,80.4700929
Hospital,Wins Hospital,15.9057821,80.4746881
Restaurant,Hotel Goutham,15.9082554,80.4780651
Fast_food,chineese,15.7796919,80.3066292
Hospital,hospital,15.7818175,80.3070018
